,State,Year,Quarter,Pincode,Transaction_count,Transaction_amount,Transaction_type
191,Andaman & Nicobar,2022,4,744103,304600,612929267.2,TOTAL
192,Andaman & Nicobar,2022,4,744105,258097,505662756.1,TOTAL
193,Andaman & Nicobar,2022,4,744101,243494,467192496.2,TOTAL
194,Andaman & Nicobar,2022,4,744102,134923,264371699.7,TOTAL
195,Andaman & Nicobar,2022,4,744211,56491,137253267.7,TOTAL
196,Andaman & Nicobar,2022,4,744107,54192,104539818.5,TOTAL
197,Andaman & Nicobar,2022,4,744112,46364,82461782.48,TOTAL
198,Andaman & Nicobar,2022,4,744202,34689,94217164.86,TOTAL
199,Andaman & Nicobar,2022,4,744301,33669,82466591.08,TOTAL
200,Andhra Pradesh,2018,1,517501,110496,163487278.8,TOTAL
201,Andhra Pradesh,2018,1,520001,96883,170605900.5,TOTAL
202,Andhra Pradesh,2018,1,515001,92754,133522310.8,TOTAL
203,Andhra Pradesh,2018,1,517507,88132,127450018.2,TOTAL
204,Andhra Pradesh,2018,1,516001,84644,131194265.5,TOTAL
205,Andhra Pradesh,2018,1,518502,82421,68040306.14,TOTAL
206,Andhra Pradesh,2018,1,530016,81891,140880970.1,TOTAL
207,Andhra Pradesh,2018,1,520010,69581,119009922,TOTAL
208,Andhra Pradesh,2018,1,516360,68340,101612118.9,TOTAL
209,Andhra Pradesh,2018,1,518501,68193,81006512.72,TOTAL
210,Andhra Pradesh,2018,2,517501,165506,305629373.2,TOTAL
211,Andhra Pradesh,2018,2,518502,140893,127814123.9,TOTAL
212,Andhra Pradesh,2018,2,515001,129798,285924993.6,TOTAL
213,Andhra Pradesh,2018,2,517507,127731,243405277.9,TOTAL
214,Andhra Pradesh,2018,2,520001,123176,271911611,TOTAL
215,Andhra Pradesh,2018,2,516001,114806,242175477.6,TOTAL
216,Andhra Pradesh,2018,2,530016,111874,235770318,TOTAL
217,Andhra Pradesh,2018,2,520010,100630,220730389.6,TOTAL
218,Andhra Pradesh,2018,2,516360,96619,197068813.6,TOTAL
219,Andhra Pradesh,2018,2,518501,93442,163942778.2,TOTAL
220,Andhra Pradesh,2018,3,518502,1300146,709765830,TOTAL
221,Andhra Pradesh,2018,3,533437,421968,240766495.1,TOTAL
222,Andhra Pradesh,2018,3,518501,296154,291247918.8,TOTAL
223,Andhra Pradesh,2018,3,517501,295403,466133618.6,TOTAL
224,Andhra Pradesh,2018,3,515001,276595,438158383.2,TOTAL
225,Andhra Pradesh,2018,3,530016,234494,380410223.2,TOTAL
226,Andhra Pradesh,2018,3,517507,233347,386563858.7,TOTAL
227,Andhra Pradesh,2018,3,516259,220165,109844218.7,TOTAL
228,Andhra Pradesh,2018,3,520011,213275,291805923,TOTAL
229,Andhra Pradesh,2018,3,520001,206435,371140000.3,TOTAL
230,Andhra Pradesh,2018,4,518502,441662,332201263.3,TOTAL
231,Andhra Pradesh,2018,4,517501,423357,714887920,TOTAL
232,Andhra Pradesh,2018,4,530016,367619,575982481.3,TOTAL
233,Andhra Pradesh,2018,4,515001,355695,651952970.9,TOTAL
234,Andhra Pradesh,2018,4,517507,318300,594747982,TOTAL
235,Andhra Pradesh,2018,4,530003,277131,356075793.9,TOTAL
236,Andhra Pradesh,2018,4,516001,269798,572252390.2,TOTAL
237,Andhra Pradesh,2018,4,520010,250261,492229977.2,TOTAL
238,Andhra Pradesh,2018,4,530017,248725,326891428.6,TOTAL
239,Andhra Pradesh,2018,4,518501,248520,357423401.6,TOTAL
240,Andhra Pradesh,2019,1,530001,950821,1529039458,TOTAL
241,Andhra Pradesh,2019,1,517501,922416,1244725311,TOTAL
242,Andhra Pradesh,2019,1,520001,814616,1462807206,TOTAL
243,Andhra Pradesh,2019,1,530016,684611,960022481.6,TOTAL
244,Andhra Pradesh,2019,1,517507,671661,1009128525,TOTAL
245,Andhra Pradesh,2019,1,515001,609682,1009938284,TOTAL
246,Andhra Pradesh,2019,1,518502,545426,389782597,TOTAL
247,Andhra Pradesh,2019,1,530003,527667,590799502.9,TOTAL
248,Andhra Pradesh,2019,1,530017,472914,531596255.9,TOTAL
249,Andhra Pradesh,2019,1,520010,460133,774931063,TOTAL
250,Andhra Pradesh,2019,2,530001,2602865,5218795716,TOTAL
251,Andhra Pradesh,2019,2,520001,1828617,3823390190,TOTAL
252,Andhra Pradesh,2019,2,517501,949187,1669949939,TOTAL
253,Andhra Pradesh,2019,2,522001,839909,1759418776,TOTAL
254,Andhra Pradesh,2019,2,530016,793798,1257915826,TOTAL
255,Andhra Pradesh,2019,2,517507,760335,1412863012,TOTAL
256,Andhra Pradesh,2019,2,515001,567306,1282118916,TOTAL
257,Andhra Pradesh,2019,2,530003,520142,718170914.4,TOTAL
258,Andhra Pradesh,2019,2,520010,490697,973983824.5,TOTAL
259,Andhra Pradesh,2019,2,530017,480905,650710126.3,TOTAL
260,Andhra Pradesh,2019,3,530001,2944756,6693257654,TOTAL
261,Andhra Pradesh,2019,3,520001,1905190,4414503366,TOTAL
262,Andhra Pradesh,2019,3,517501,1434209,2203932856,TOTAL
263,Andhra Pradesh,2019,3,530016,1196020,1658162549,TOTAL
264,Andhra Pradesh,2019,3,517507,1060513,1854927352,TOTAL
265,Andhra Pradesh,2019,3,522001,1003916,2216532549,TOTAL
266,Andhra Pradesh,2019,3,515001,868052,1667826832,TOTAL
267,Andhra Pradesh,2019,3,530003,858005,970993081.2,TOTAL
268,Andhra Pradesh,2019,3,530017,799271,911939243.1,TOTAL
269,Andhra Pradesh,2019,3,530026,711726,1095056836,TOTAL
270,Andhra Pradesh,2019,4,530001,4185063,9160387223,TOTAL
271,Andhra Pradesh,2019,4,520001,2544877,5933007157,TOTAL
272,Andhra Pradesh,2019,4,517501,1920211,3073084030,TOTAL
273,Andhra Pradesh,2019,4,530016,1591033,2295184224,TOTAL
274,Andhra Pradesh,2019,4,530026,1438154,2509394596,TOTAL
275,Andhra Pradesh,2019,4,517507,1406768,2478459133,TOTAL
276,Andhra Pradesh,2019,4,522001,1324202,2927313968,TOTAL
277,Andhra Pradesh,2019,4,515001,1202983,2376869517,TOTAL
278,Andhra Pradesh,2019,4,530003,1131832,1339103328,TOTAL
279,Andhra Pradesh,2019,4,530017,1084796,1266927471,TOTAL
280,Andhra Pradesh,2020,1,530026,6695271,15258657487,TOTAL
281,Andhra Pradesh,2020,1,517501,2196548,3731404466,TOTAL
282,Andhra Pradesh,2020,1,530016,1661816,2593325339,TOTAL
283,Andhra Pradesh,2020,1,517507,1554974,2719620696,TOTAL
284,Andhra Pradesh,2020,1,515001,1346804,2696427931,TOTAL
285,Andhra Pradesh,2020,1,530003,1159480,1519955259,TOTAL
286,Andhra Pradesh,2020,1,524002,1125194,2653339804,TOTAL
287,Andhra Pradesh,2020,1,530017,1104748,1412381496,TOTAL
288,Andhra Pradesh,2020,1,520010,1098395,2059547223,TOTAL
289,Andhra Pradesh,2020,1,522001,1058410,2575723775,TOTAL
290,Andhra Pradesh,2020,2,530026,4994637,12817902607,TOTAL
291,Andhra Pradesh,2020,2,517501,1708935,3203679955,TOTAL
292,Andhra Pradesh,2020,2,517507,1575118,2854711069,TOTAL
293,Andhra Pradesh,2020,2,524002,1553283,3993963026,TOTAL
294,Andhra Pradesh,2020,2,530016,1067022,1893629834,TOTAL
295,Andhra Pradesh,2020,2,516001,1066066,2616099329,TOTAL
296,Andhra Pradesh,2020,2,515001,1026587,2447755903,TOTAL
297,Andhra Pradesh,2020,2,518002,979822,2015820866,TOTAL
298,Andhra Pradesh,2020,2,522001,963666,2678051229,TOTAL
299,Andhra Pradesh,2020,2,520002,956641,2767045048,TOTAL
300,Andhra Pradesh,2020,3,524002,5194663,13718743729,TOTAL
301,Andhra Pradesh,2020,3,530026,4159532,10383207818,TOTAL
302,Andhra Pradesh,2020,3,517501,2735691,5544720473,TOTAL
303,Andhra Pradesh,2020,3,516001,2534360,6637577271,TOTAL
304,Andhra Pradesh,2020,3,517507,2306174,4594510974,TOTAL
305,Andhra Pradesh,2020,3,520002,2238996,6543183825,TOTAL
306,Andhra Pradesh,2020,3,530016,1921871,3560898943,TOTAL
307,Andhra Pradesh,2020,3,515001,1669413,4116758527,TOTAL
308,Andhra Pradesh,2020,3,522001,1625687,4701116489,TOTAL
309,Andhra Pradesh,2020,3,518002,1514873,3352462441,TOTAL
310,Andhra Pradesh,2020,4,524002,5029692,12810644736,TOTAL
311,Andhra Pradesh,2020,4,530026,4235146,9849636860,TOTAL
312,Andhra Pradesh,2020,4,517501,4125544,7866883789,TOTAL
313,Andhra Pradesh,2020,4,517507,3420778,6749696776,TOTAL
314,Andhra Pradesh,2020,4,516001,3119905,8005247952,TOTAL
315,Andhra Pradesh,2020,4,530016,2981818,5591062751,TOTAL
316,Andhra Pradesh,2020,4,515001,2821800,6442101737,TOTAL
317,Andhra Pradesh,2020,4,518002,2219953,4809927718,TOTAL
318,Andhra Pradesh,2020,4,520010,2170458,4679865894,TOTAL
319,Andhra Pradesh,2020,4,530017,2027751,3252434513,TOTAL
320,Andhra Pradesh,2021,1,524002,7269657,16698428355,TOTAL
321,Andhra Pradesh,2021,1,530026,5875319,13567044097,TOTAL
322,Andhra Pradesh,2021,1,517501,4354325,8224302893,TOTAL
323,Andhra Pradesh,2021,1,520002,3591058,9183853695,TOTAL
324,Andhra Pradesh,2021,1,517507,3378549,6593121541,TOTAL
325,Andhra Pradesh,2021,1,530016,3144495,5679150412,TOTAL
326,Andhra Pradesh,2021,1,516001,2941623,7434205012,TOTAL
327,Andhra Pradesh,2021,1,515001,2815993,6225481723,TOTAL
328,Andhra Pradesh,2021,1,522001,2584588,6753205747,TOTAL
329,Andhra Pradesh,2021,1,520010,2291676,4716738890,TOTAL
330,Andhra Pradesh,2021,2,524002,11023032,25519404147,TOTAL
331,Andhra Pradesh,2021,2,530026,7850540,19042845773,TOTAL
332,Andhra Pradesh,2021,2,520002,5441708,14948864291,TOTAL
333,Andhra Pradesh,2021,2,517501,4614209,9215678010,TOTAL
334,Andhra Pradesh,2021,2,517507,3834825,7940105016,TOTAL
335,Andhra Pradesh,2021,2,522001,3427039,9832657321,TOTAL
336,Andhra Pradesh,2021,2,515001,3052771,7213837063,TOTAL
337,Andhra Pradesh,2021,2,530016,2892664,5705916881,TOTAL
338,Andhra Pradesh,2021,2,516001,2613562,7256266064,TOTAL
339,Andhra Pradesh,2021,2,518002,2553688,5906664131,TOTAL
340,Andhra Pradesh,2021,3,524002,10701326,23300508691,TOTAL
341,Andhra Pradesh,2021,3,530026,9780096,22841763578,TOTAL
342,Andhra Pradesh,2021,3,517501,5982442,11419848822,TOTAL
