State,Year,Quarter,Transaction_type,Transaction_count,Transaction_amount
ladakh,2018,3,Peer-to-peer payments,10133,77085890.57
ladakh,2018,3,Merchant payments,1168,2016579.251
ladakh,2018,3,Financial Services,84,69317.12288
ladakh,2018,3,Others,343,242477.8533
ladakh,2018,1,Recharge & bill payments,3550,927250.7144
ladakh,2018,1,Peer-to-peer payments,1752,10767804
ladakh,2018,1,Merchant payments,320,369327.6256
ladakh,2018,1,Financial Services,132,274283.1758
ladakh,2018,1,Others,335,194192.2558
ladakh,2022,4,Peer-to-peer payments,559259,2350047972
ladakh,2022,4,Merchant payments,382456,462189599.3
ladakh,2022,4,Recharge & bill payments,138793,79767790.99
ladakh,2022,4,Financial Services,1248,1198715.212
ladakh,2022,4,Others,1616,1273495.593
ladakh,2022,2,Peer-to-peer payments,608870,2941624382
ladakh,2022,2,Merchant payments,346146,508439376.7
ladakh,2022,2,Recharge & bill payments,158996,88531677.99
ladakh,2022,2,Financial Services,1585,2487560.185
ladakh,2022,2,Others,2476,2235180.858
ladakh,2022,3,Peer-to-peer payments,659896,2955729492
ladakh,2022,3,Merchant payments,367022,551472983.9
ladakh,2022,3,Recharge & bill payments,160269,94288872.35
ladakh,2022,3,Financial Services,1555,1815866.896
ladakh,2022,3,Others,2116,1892134.752
ladakh,2022,1,Peer-to-peer payments,343041,1685241981
ladakh,2022,1,Merchant payments,167100,279354509
ladakh,2022,1,Recharge & bill payments,116486,56203999.29
ladakh,2022,1,Financial Services,1247,2023327.678
ladakh,2022,1,Others,2141,2217102.222
ladakh,2019,4,Peer-to-peer payments,42095,298044908.5
ladakh,2019,4,Recharge & bill payments,35467,16510212.1
ladakh,2019,4,Merchant payments,6522,8717893.9
ladakh,2019,4,Financial Services,46,162760.6325
ladakh,2019,4,Others,576,1253584.887
ladakh,2019,2,Peer-to-peer payments,34202,240305709.9
ladakh,2019,2,Recharge & bill payments,25357,10116773.37
ladakh,2019,2,Merchant payments,8220,7726519.368
ladakh,2019,2,Financial Services,86,113767.0977
